txn_date,txn_count,total_value,fraud_count,fraud_value,fraud_rate_pct,rolling_7d_fraud_rate_pct
2024-02-23,1010,103567.34,8,791.72,0.7921,0.6931
2024-02-24,995,90885.75,5,818.3600000000001,0.5025,0.7035
2024-02-25,971,101493.09,3,882.72,0.309,0.6617
2024-02-26,993,110684.65,8,1588.2399999999998,0.8056,0.6889
2024-02-27,923,85257.66,4,353.14,0.4334,0.6574
2024-02-28,972,97538.92,8,1291.53,0.823,0.6889
2024-02-29,987,100657.89,6,1418.1100000000001,0.6079,0.613
2024-03-01,987,97874.35,5,537.38,0.5066,0.5712
2024-03-02,992,108866.24,9,804.6,0.9073,0.63
2024-03-03,957,100375.73,7,1807.13,0.7315,0.6901
2024-03-04,964,96412.91,7,549.0,0.7261,0.6783
2024-03-05,1061,113569.12,5,1144.53,0.4713,0.6792
2024-03-06,1010,97224.29,8,2247.83,0.7921,0.6755
2024-03-07,952,123350.64,8,1400.93,0.8403,0.7078
2024-03-08,1008,106711.23,5,1055.84,0.496,0.7056
2024-03-09,950,90706.09,3,341.87,0.3158,0.623
2024-03-10,1033,97447.68,5,2045.3000000000002,0.484,0.5876
2024-03-11,1053,115007.51,7,2015.15,0.6648,0.5802
2024-03-12,989,113222.46,7,4274.9400000000005,0.7078,0.6147
2024-03-13,957,111509.17,9,1078.04,0.9404,0.6338
2024-03-14,1061,104805.56,9,1409.07,0.8483,0.6382
2024-03-15,968,98021.81,8,1827.9199999999998,0.8264,0.6846
2024-03-16,1016,102353.46,5,1653.8600000000001,0.4921,0.7065
2024-03-17,1009,107899.47,7,965.31,0.6938,0.7373
2024-03-18,984,99955.48,2,94.1,0.2033,0.673
2024-03-19,1001,114114.37,5,425.88,0.4995,0.6432
2024-03-20,1007,102368.13,10,994.49,0.993,0.6529
2024-03-21,970,102998.53,5,982.36,0.5155,0.6039
2024-03-22,975,103624.48,13,2371.63,1.3333,0.6751
2024-03-23,989,98324.55,5,1246.2,0.5056,0.6777
2024-03-24,1046,114467.78,4,392.67999999999995,0.3824,0.6311
2024-03-25,1020,119921.38,8,332.07,0.7843,0.7135
2024-03-26,1007,121199.83,5,1369.95,0.4965,0.7129
2024-03-27,966,106375.42,11,542.73,1.1387,0.7314
2024-03-28,1006,99252.55,6,136.57999999999998,0.5964,0.7419
2024-03-29,986,128303.1,5,538.1400000000001,0.5071,0.6268
2024-03-30,1021,125471.22,6,5608.0599999999995,0.5877,0.6381
2024-03-31,965,112893.26,5,1861.3000000000002,0.5181,0.6599
2024-04-01,1062,112975.84,8,907.34,0.7533,0.6559
2024-04-02,1002,129232.8,6,391.15999999999997,0.5988,0.6707
2024-04-03,946,104579.18000000001,9,562.91,0.9514,0.644
2024-04-04,1005,113765.62,2,421.04,0.199,0.5868
2024-04-05,1004,108036.51,4,1911.67,0.3984,0.571
2024-04-06,989,99504.78,8,886.07,0.8089,0.6023
2024-04-07,1044,122628.13,5,884.67,0.4789,0.5956
2024-04-08,1012,123295.62,6,208.70000000000002,0.5929,0.5713
2024-04-09,966,112271.74,7,231.34,0.7246,0.5886
2024-04-10,958,118277.66,4,659.67,0.4175,0.5159
2024-04-11,1003,119319.7,7,2868.43,0.6979,0.5877
2024-04-12,939,107527.53,7,927.15,0.7455,0.6367
2024-04-13,1002,111296.57,9,941.3,0.8982,0.6499
2024-04-14,945,116597.36,9,1053.3799999999999,0.9524,0.7179
2024-04-15,987,123084.21,1,6.9,0.1013,0.6471
2024-04-16,954,120592.83,10,5706.16,1.0482,0.6924
2024-04-17,977,138757.67,12,3260.9000000000005,1.2282,0.808
2024-04-18,992,126614.83,4,1046.35,0.4032,0.7652
2024-04-19,1020,131863.46,10,1312.6599999999999,0.9804,0.7998
2024-04-20,967,113100.1,4,434.5,0.4137,0.7308
2024-04-21,960,122112.86,11,1873.57,1.1458,0.7583
2024-04-22,1052,142661.03,5,496.27000000000004,0.4753,0.809
2024-04-23,937,109249.52,8,450.76,0.8538,0.782
2024-04-24,977,144076.71,6,1546.39,0.6141,0.6951
2024-04-25,977,116654.16,9,859.8600000000001,0.9212,0.7692
2024-04-26,1098,149179.93,4,199.26999999999998,0.3643,0.6745
2024-04-27,954,110494.78,7,1301.24,0.7338,0.7189
2024-04-28,920,108822.18000000001,4,361.21,0.4348,0.6218
2024-04-29,991,127811.97,6,189.98,0.6054,0.642
2024-04-30,1022,127724.94,3,163.95999999999998,0.2935,0.562
2024-05-01,975,120819.06,4,399.56,0.4103,0.5334
2024-05-02,983,116911.33,4,1011.51,0.4069,0.4609
2024-05-03,1000,130321.06,5,1654.8799999999999,0.5,0.4821
2024-05-04,991,127032.68000000001,6,2467.97,0.6054,0.465
2024-05-05,1003,130634.86,8,3478.8199999999997,0.7976,0.5169
2024-05-06,1011,130334.63,12,3086.5300000000007,1.1869,0.6013
2024-05-07,964,105768.15,4,632.88,0.4149,0.6208
2024-05-08,945,114563.92,3,260.3,0.3175,0.609
2024-05-09,944,138964.3,6,591.6199999999999,0.6356,0.6416
2024-05-10,941,118433.81,8,982.8599999999999,0.8502,0.6913
2024-05-11,997,117892.79,4,284.93999999999994,0.4012,0.6613
2024-05-12,941,135185.23,4,416.21999999999997,0.4251,0.608
2024-05-13,1012,124479.87,5,296.03,0.4941,0.5042
2024-05-14,961,140145.3,13,5838.139999999999,1.3528,0.6379
2024-05-15,977,134203.9,8,872.0,0.8188,0.7087
2024-05-16,918,115940.83,4,1289.48,0.4357,0.6818
2024-05-17,966,125593.26,4,1215.16,0.4141,0.6202
2024-05-18,964,115594.02,6,424.34,0.6224,0.6529
2024-05-19,960,117633.84,6,1248.69,0.625,0.6807
2024-05-20,967,123414.78,3,3163.96,0.3102,0.6554
2024-05-21,962,114023.32,9,3501.2000000000007,0.9356,0.5958
2024-05-22,989,118258.28,3,2001.75,0.3033,0.5204
2024-05-23,975,135222.83,5,631.45,0.5128,0.5307
2024-05-24,995,129786.21,5,731.47,0.5025,0.5432
2024-05-25,1006,126910.7,4,269.38,0.3976,0.5107
2024-05-26,1022,141406.71,5,2017.12,0.4892,0.4916
2024-05-27,983,124061.13,6,327.42,0.6104,0.5338
2024-05-28,1022,130498.17,9,1973.47,0.8806,0.5292
2024-05-29,950,116097.83,5,1126.62,0.5263,0.5609
2024-05-30,1035,121298.81,10,2612.41,0.9662,0.6274
2024-05-31,959,112505.68000000001,1,33.76,0.1043,0.5733
2024-06-01,956,132314.22,4,168.64999999999998,0.4184,0.5775
2024-06-02,953,108188.15,12,4011.6900000000005,1.2592,0.6853
2024-06-03,928,121048.92,5,1037.83,0.5388,0.6762
2024-06-04,977,123547.42,8,2337.0600000000004,0.8188,0.6659
2024-06-05,932,119995.2,4,156.10999999999999,0.4292,0.6528
2024-06-06,1006,131864.65,2,157.82,0.1988,0.5364
2024-06-07,967,160987.85,8,1879.1,0.8273,0.64
2024-06-08,1039,135605.05,10,1825.02,0.9625,0.7204
2024-06-09,1006,152881.8,5,2603.33,0.497,0.6127
2024-06-10,964,128122.72,7,2264.65,0.7261,0.6385
2024-06-11,1006,165927.14,9,21630.630000000005,0.8946,0.6503
2024-06-12,1006,141180.76,8,1867.8100000000002,0.7952,0.7006
2024-06-13,962,139902.23,5,414.57,0.5198,0.7482
2024-06-14,960,133298.45,4,3446.16,0.4167,0.6913
2024-06-15,982,139218.45,5,6540.869999999999,0.5092,0.6245
2024-06-16,1003,146002.59,6,1276.0500000000002,0.5982,0.6393
2024-06-17,972,140125.69,11,2038.53,1.1317,0.6966
2024-06-18,988,143208.79,10,3691.77,1.0121,0.7129
2024-06-19,1038,148173.9,9,2259.44,0.8671,0.7241
2024-06-20,977,138432.2,6,415.19000000000005,0.6141,0.737
2024-06-21,1005,151550.17,3,166.57,0.2985,0.7179
2024-06-22,1006,152465.83,8,540.42,0.7952,0.7583
2024-06-23,1037,154132.64,5,587.8399999999999,0.4822,0.7404
2024-06-24,950,145315.97,8,1361.83,0.8421,0.6999
2024-06-25,979,128673.86,8,1388.92,0.8172,0.6722
2024-06-26,1016,141207.0,7,382.08000000000004,0.689,0.6456
2024-06-27,1038,140367.85,7,1041.4,0.6744,0.6542
2024-06-28,1008,131333.1,6,2171.84,0.5952,0.6966
2024-06-29,978,132786.94,4,578.72,0.409,0.6423
2024-06-30,1023,163634.42,5,923.81,0.4888,0.6436
2024-07-01,975,133100.04,3,1676.53,0.3077,0.57
2024-07-02,1011,158874.99,8,599.76,0.7913,0.5675
2024-07-03,965,144365.52,1,1688.64,0.1036,0.4859
2024-07-04,977,122279.41,9,357.21000000000004,0.9212,0.519
2024-07-05,1015,137337.02,8,1237.5,0.7882,0.5472
2024-07-06,1007,125461.69,6,2310.1500000000005,0.5958,0.5736
2024-07-07,982,130646.8,9,3805.56,0.9165,0.6347
2024-07-08,948,148244.12,7,824.5300000000001,0.7384,0.6951
2024-07-09,953,155502.81,4,1573.56,0.4197,0.6426
2024-07-10,981,147590.8,10,2252.96,1.0194,0.7723
2024-07-11,1057,169581.06,10,2383.97,0.9461,0.7778
2024-07-12,999,137399.34,4,96.55,0.4004,0.7218
2024-07-13,973,130048.14,9,2586.5499999999997,0.925,0.7689
2024-07-14,995,134416.68,10,4332.11,1.005,0.7819
2024-07-15,988,153926.96,5,647.49,0.5061,0.7486
2024-07-16,961,149801.3,5,601.95,0.5203,0.7622
2024-07-17,1028,160922.7,8,2964.7400000000002,0.7782,0.7285
2024-07-18,994,141854.29,5,411.79,0.503,0.663
2024-07-19,933,142343.01,8,1829.27,0.8574,0.7276
2024-07-20,1006,162590.96,5,1300.79,0.497,0.6662
2024-07-21,993,144377.19,4,481.93,0.4028,0.5795
2024-07-22,930,139241.09,4,94.39999999999998,0.4301,0.5698
2024-07-23,929,154122.84,3,27.22,0.3229,0.5431
2024-07-24,1036,157591.88,5,476.53,0.4826,0.4985
2024-07-25,987,164913.92,8,1512.4299999999998,0.8105,0.543
2024-07-26,1043,172921.64,5,2482.6699999999996,0.4794,0.491
2024-07-27,1005,143458.3,7,781.2700000000001,0.6965,0.52
2024-07-28,971,153166.42,8,559.36,0.8239,0.5796
2024-07-29,994,145416.62,5,1066.31,0.503,0.5887
2024-07-30,975,141759.35,9,1352.1899999999998,0.9231,0.6704
2024-07-31,1063,155893.0,5,781.6399999999999,0.4704,0.6678
2024-08-01,1024,144232.19,8,213.05,0.7812,0.6643
2024-08-02,937,157581.71,6,3449.4900000000007,0.6403,0.6888
2024-08-03,1003,167446.77,6,631.68,0.5982,0.6746
2024-08-04,1022,160606.05,6,1685.3799999999999,0.5871,0.6412
2024-08-05,1023,142345.16,6,323.76,0.5865,0.6528
2024-08-06,987,162148.54,4,688.4300000000001,0.4053,0.5808
2024-08-07,1035,166866.25,4,1211.94,0.3865,0.5689
2024-08-08,983,158602.24,4,168.92000000000002,0.4069,0.515
2024-08-09,1015,163986.11,6,601.44,0.5911,0.5093
2024-08-10,989,172926.74,8,2723.88,0.8089,0.5387
2024-08-11,971,163508.16,7,21557.270000000004,0.7209,0.5569
2024-08-12,1043,162197.76,5,1198.5,0.4794,0.5411
2024-08-13,998,165750.91,11,7446.610000000001,1.1022,0.6397
2024-08-14,966,162287.61,8,1524.82,0.8282,0.7035
2024-08-15,984,154371.78,7,2786.6900000000005,0.7114,0.7465
2024-08-16,989,161573.98,6,1115.72,0.6067,0.7493
2024-08-17,928,129459.11,5,452.05,0.5388,0.7123
2024-08-18,1028,187038.54,3,208.96,0.2918,0.6488
2024-08-19,1004,163256.82,3,4084.22,0.2988,0.6235
2024-08-20,1040,165049.86,4,144.46,0.3846,0.5188
2024-08-21,958,183239.17,7,1545.07,0.7307,0.505
2024-08-22,1008,167537.7,8,2453.6499999999996,0.7937,0.5176
2024-08-23,971,158387.8,9,1154.75,0.9269,0.5622
2024-08-24,1013,181744.57,7,5120.900000000001,0.691,0.5839
2024-08-25,1005,173093.04,2,118.9,0.199,0.5715
2024-08-26,1013,158752.56,3,727.5799999999999,0.2962,0.5708
2024-08-27,966,155212.32,4,398.13,0.4141,0.5769
2024-08-28,948,149876.46,3,545.4200000000001,0.3165,0.5199
2024-08-29,1029,177691.1,6,1368.7000000000003,0.5831,0.4896
2024-08-30,989,140905.94,9,1850.52,0.91,0.4883
2024-08-31,977,166563.79,7,752.6800000000001,0.7165,0.4908
2024-09-01,967,190438.16,6,1333.0799999999997,0.6205,0.5516
2024-09-02,982,180477.04,5,778.75,0.5092,0.5833
2024-09-03,1063,176167.73,4,1096.83,0.3763,0.5751
2024-09-04,1061,194032.56,9,1431.03,0.8483,0.6508
2024-09-05,1022,189448.93,7,653.04,0.6849,0.6656
2024-09-06,949,155778.93,3,94.53999999999999,0.3161,0.584
2024-09-07,954,166692.15,3,490.95000000000005,0.3145,0.5287
2024-09-08,949,187205.66,5,1432.44,0.5269,0.5158
2024-09-09,976,174290.1,5,6453.110000000001,0.5123,0.5162
2024-09-10,960,176315.05,5,3000.32,0.5208,0.5385
2024-09-11,973,187133.85,8,427.84000000000003,0.8222,0.5307
2024-09-12,965,161892.24,6,903.78,0.6218,0.5204
2024-09-13,1007,152269.12,5,342.0,0.4965,0.5454
2024-09-14,1018,193013.02,6,1355.09,0.5894,0.5841
2024-09-15,1052,194295.11,11,2391.3099999999995,1.0456,0.6618
2024-09-16,970,146263.42,5,1101.09,0.5155,0.6623
2024-09-17,994,185677.41,7,1707.49,0.7042,0.6878
2024-09-18,1024,171705.88,4,102.52,0.3906,0.6259
2024-09-19,1001,201268.74,3,662.75,0.2997,0.5802
2024-09-20,981,160959.26,5,619.04,0.5097,0.5824
2024-09-21,990,242641.57,4,866.76,0.404,0.5562
2024-09-22,964,175414.96,3,459.82,0.3112,0.4477
2024-09-23,1016,205965.4,5,1489.07,0.4921,0.4448
2024-09-24,1021,197008.82,7,2925.9599999999996,0.6856,0.443
2024-09-25,1008,185074.15,6,921.2799999999999,0.5952,0.4727
2024-09-26,996,191290.27,2,238.71,0.2008,0.4587
2024-09-27,1054,198747.57,9,2811.89,0.8539,0.5107
2024-09-28,1012,185934.48,1,3.29,0.0988,0.4667
2024-09-29,1001,198067.0,8,1513.23,0.7992,0.5346
2024-09-30,941,158135.57,10,1803.42,1.0627,0.6114
2024-10-01,994,188586.42,4,156.01,0.4024,0.5709
2024-10-02,959,174548.84,3,966.65,0.3128,0.5318
2024-10-03,989,201384.88,6,836.9099999999999,0.6067,0.5899
2024-10-04,995,190824.63,11,7814.860000000001,1.1055,0.624
2024-10-05,987,178210.26,4,474.02,0.4053,0.67
2024-10-06,971,187701.34,3,77.32000000000001,0.309,0.5998
2024-10-07,988,215771.38,7,1029.29,0.7085,0.5521
2024-10-08,971,191754.26,6,472.9,0.6179,0.5831
2024-10-09,1005,197373.28,5,305.5,0.4975,0.6082
2024-10-10,1007,228532.49,11,4128.360000000001,1.0924,0.6788
2024-10-11,999,234575.8,8,1835.48,0.8008,0.6351
2024-10-12,966,173009.58,6,1332.1,0.6211,0.666
2024-10-13,982,189613.31,8,767.98,0.8147,0.7372
2024-10-14,1035,214086.24,5,601.6400000000001,0.4831,0.7035
2024-10-15,973,175478.55,2,172.26,0.2055,0.6459
2024-10-16,1002,188420.69,5,523.1800000000001,0.499,0.6462
2024-10-17,966,157199.4,9,2251.2799999999997,0.9317,0.6211
2024-10-18,944,166509.54,4,235.81,0.4237,0.5679
2024-10-19,930,188541.75,7,406.33,0.7527,0.5855
2024-10-20,970,178199.9,7,3466.59,0.7216,0.5718
2024-10-21,1048,190627.6,7,3258.3,0.6679,0.6
2024-10-22,1016,180841.23,7,2305.52,0.689,0.669
2024-10-23,1020,212158.73,11,2254.63,1.0784,0.7543
2024-10-24,955,197422.81,5,792.86,0.5236,0.6974
2024-10-25,992,197154.05,9,1151.1799999999998,0.9073,0.7647
2024-10-26,995,181627.9,8,511.99,0.804,0.7719
2024-10-27,1015,213496.06,10,1816.3500000000001,0.9852,0.8095
2024-10-28,1000,204595.43,7,3012.65,0.7,0.8151
2024-10-29,1038,220904.24,5,242.57000000000002,0.4817,0.784
2024-10-30,1019,205669.52,8,783.53,0.7851,0.7414
2024-10-31,996,206628.29,3,6094.0599999999995,0.3012,0.7087
2024-11-01,963,183395.99,8,2798.16,0.8307,0.6974
2024-11-02,1046,200506.11,13,1519.04,1.2428,0.763
2024-11-03,1003,230827.69,5,4424.71,0.4985,0.6936
2024-11-04,947,224612.38,4,2559.51,0.4224,0.656
2024-11-05,1007,201247.28,8,1154.49,0.7944,0.7019
2024-11-06,975,220801.23,6,873.17,0.6154,0.6775
2024-11-07,986,207682.9,4,779.13,0.4057,0.6929
2024-11-08,1001,208448.09,7,1124.3999999999999,0.6993,0.6748
2024-11-09,934,237467.0,7,788.8800000000001,0.7495,0.5983
2024-11-10,1010,234364.15,6,559.63,0.5941,0.6122
2024-11-11,976,209729.61000000002,8,1194.13,0.8197,0.6677
2024-11-12,1008,198416.69,2,100.03999999999999,0.1984,0.5806
2024-11-13,1040,203397.68,4,1144.31,0.3846,0.5464
2024-11-14,987,193090.12,7,939.8599999999999,0.7092,0.5894
2024-11-15,1013,218157.7,7,1589.4199999999998,0.691,0.5884
2024-11-16,993,207791.79,7,1453.56,0.7049,0.5835
2024-11-17,973,216194.3,6,1877.61,0.6166,0.5866
2024-11-18,997,224592.96,3,1159.24,0.3009,0.5135
2024-11-19,968,208059.84,10,2923.42,1.0331,0.6312
2024-11-20,997,206882.79,3,506.84999999999997,0.3009,0.6207
2024-11-21,976,188326.24,4,307.96999999999997,0.4098,0.5783
2024-11-22,988,196806.42,5,472.71,0.5061,0.5514
2024-11-23,987,214333.04,8,3381.9,0.8105,0.5664
2024-11-24,1005,204245.16,8,4215.77,0.796,0.5927
2024-11-25,925,216639.93,5,556.4100000000001,0.5405,0.6281
2024-11-26,968,221377.54,7,2034.6700000000003,0.7231,0.5843
2024-11-27,949,216152.8,10,1234.55,1.0537,0.6914
2024-11-28,984,204488.74,4,310.95000000000005,0.4065,0.6906
2024-11-29,1038,200556.92,8,519.7,0.7707,0.7293
2024-11-30,997,221921.14,8,5475.31,0.8024,0.7282
2024-12-01,1005,226374.55000000002,8,5290.72,0.796,0.7282
2024-12-02,1043,193340.18,2,148.22000000000003,0.1918,0.673
2024-12-03,998,207347.97,3,809.22,0.3006,0.6131
2024-12-04,968,221920.27,6,2420.99,0.6198,0.5545
2024-12-05,979,257471.16,8,1413.41,0.8172,0.6118
2024-12-06,1007,194264.78,6,1600.64,0.5958,0.586
2024-12-07,959,221879.87,11,2285.7000000000003,1.147,0.6323
2024-12-08,1019,213673.15,4,580.3199999999999,0.3925,0.5736
2024-12-09,1000,216247.19,4,723.54,0.4,0.6061
2024-12-10,994,234769.12,2,158.05,0.2012,0.592
2024-12-11,990,238092.08,4,235.20000000000002,0.404,0.5613
2024-12-12,1025,221657.06,9,1538.9599999999998,0.878,0.5719
2024-12-13,966,216727.45,8,1779.28,0.8282,0.6041
2024-12-14,984,204061.46,3,212.89999999999998,0.3049,0.4872
2024-12-15,1055,242128.39,4,1451.4299999999998,0.3791,0.4847
2024-12-16,978,250655.52,5,641.81,0.5112,0.5006
2024-12-17,1023,237445.41,10,3103.22,0.9775,0.6124
2024-12-18,972,214453.52,4,1149.98,0.4115,0.614
2024-12-19,983,263944.56,3,569.52,0.3052,0.5315
2024-12-20,1000,259595.57,6,1028.25,0.6,0.5004
2024-12-21,1015,255378.1,5,10470.57,0.4926,0.5266
2024-12-22,993,267810.32,12,1769.9700000000003,1.2085,0.6462
2024-12-23,1002,204724.44,12,3824.2400000000002,1.1976,0.7441
2024-12-24,1001,201384.61,7,1106.6599999999999,0.6993,0.7034
2024-12-25,1036,263370.96,6,1973.46,0.5792,0.7255
2024-12-26,975,219010.36000000002,6,6144.1,0.6154,0.769
2024-12-27,937,209614.75,8,568.64,0.8538,0.8047
2024-12-28,969,218484.27,5,8349.1,0.516,0.8101
2024-12-29,1012,249760.86,7,3645.7799999999997,0.6917,0.7357
2024-12-30,1027,278904.92,2,720.77,0.1947,0.5893
2024-12-31,1003,260046.15,10,16007.720000000001,0.997,0.6323
2025-01-01,972,222796.43,5,1029.84,0.5144,0.6236
2025-01-02,981,319146.55,7,26845.149999999998,0.7136,0.6376
2025-01-03,1018,215912.64,9,3303.21,0.8841,0.6445
2025-01-04,982,264980.58,6,926.47,0.611,0.6576
2025-01-05,942,238416.1,8,1749.42,0.8493,0.6787
2025-01-06,1014,257198.87,5,1210.25,0.4931,0.7234
2025-01-07,1037,241703.2,5,1275.71,0.4822,0.6479
2025-01-08,995,229396.09,3,1199.23,0.3015,0.617
2025-01-09,978,201250.85,7,2974.37,0.7157,0.6173
2025-01-10,973,262339.71,8,899.34,0.8222,0.6068
2025-01-11,941,214156.82,5,1235.98,0.5313,0.5959
2025-01-12,966,231538.21,3,492.49,0.3106,0.5214
2025-01-13,1036,293130.89,7,2390.77,0.6757,0.5487
2025-01-14,946,229956.91,9,3793.76,0.9514,0.6145
2025-01-15,981,272110.76,1,22.76,0.1019,0.5864
2025-01-16,945,227746.76,4,1275.8799999999999,0.4233,0.5451
2025-01-17,966,254058.43,5,1741.26,0.5176,0.5014
2025-01-18,979,256259.98,5,819.0,0.5107,0.4986
2025-01-19,985,265005.89,6,8890.679999999998,0.6091,0.5411
2025-01-20,985,220708.05,5,1134.56,0.5076,0.5157
2025-01-21,1027,278725.51,14,3092.1500000000005,1.3632,0.5824
2025-01-22,998,272942.36,7,1349.47,0.7014,0.6681
2025-01-23,1006,240636.6,4,1393.94,0.3976,0.6623
2025-01-24,974,213179.18,7,2988.4800000000005,0.7187,0.6903
2025-01-25,1008,273642.21,6,2444.5699999999997,0.5952,0.7017
2025-01-26,928,222139.1,4,263.24,0.431,0.6786
2025-01-27,1026,276443.36,5,580.81,0.4873,0.6746
2025-01-28,1013,256466.92,3,1449.45,0.2962,0.5178
2025-01-29,955,273146.11,8,2427.5499999999997,0.8377,0.5355
2025-01-30,1002,246144.99,3,766.02,0.2994,0.5213
2025-01-31,935,232899.51,9,1549.6599999999999,0.9626,0.5534
2025-02-01,973,225991.11000000002,7,1112.0900000000001,0.7194,0.5708
2025-02-02,992,238788.37,7,399.18000000000006,0.7056,0.609
2025-02-03,986,253964.57,4,3925.86,0.4057,0.598
2025-02-04,943,252338.91,7,2093.33,0.7423,0.6631
2025-02-05,1011,243237.58,4,628.5999999999999,0.3956,0.5992
2025-02-06,1029,336163.89,5,2846.3900000000003,0.4859,0.626
2025-02-07,968,245982.61,5,4834.51,0.5165,0.5651
2025-02-08,1005,254329.45,4,1703.84,0.398,0.5192
2025-02-09,996,259285.27,2,465.28000000000003,0.2008,0.4468
2025-02-10,979,263983.32,6,10288.43,0.6129,0.4761
2025-02-11,976,243066.27,7,2227.94,0.7172,0.4739
2025-02-12,981,280561.9,3,512.53,0.3058,0.4615
2025-02-13,980,250017.12,6,2918.95,0.6122,0.4793
2025-02-14,956,245804.55,3,42.66,0.3138,0.451
2025-02-15,948,241481.74,7,3001.6699999999996,0.7384,0.4988
2025-02-16,941,261348.16999999998,3,511.24,0.3188,0.5177
2025-02-17,961,257189.55,5,1286.9600000000003,0.5203,0.5042
2025-02-18,972,260078.43,2,162.19,0.2058,0.4303
2025-02-19,1007,286928.7,7,2144.83,0.6951,0.4878
2025-02-20,950,239033.61,2,110.39,0.2105,0.4306
2025-02-21,1045,256810.69,9,2089.69,0.8612,0.5129
2025-02-22,1005,278292.32,10,4694.160000000001,0.995,0.5522
2025-02-23,993,273557.83,5,18864.58,0.5035,0.577
2025-02-24,1035,279174.83,5,3866.42,0.4831,0.5709
2025-02-25,1034,253376.35,7,3202.39,0.677,0.6366
2025-02-26,991,300371.74,9,15088.739999999998,0.9082,0.6664
2025-02-27,941,277206.1,2,660.25,0.2125,0.6672
2025-02-28,997,277907.26,6,5685.75,0.6018,0.6289
2025-03-01,963,276793.19,8,3035.42,0.8307,0.604
2025-03-02,990,264015.43,8,766.3199999999999,0.8081,0.6474
2025-03-03,932,245657.84,4,1441.72,0.4292,0.6425
2025-03-04,989,278412.79,6,2372.98,0.6067,0.6321
2025-03-05,978,272208.32,8,937.53,0.818,0.6186
2025-03-06,944,247716.04,12,5050.59,1.2712,0.7655
2025-03-07,990,326693.08,6,10822.88,0.6061,0.7663
