device_id,total_txns,fraud_txns,fraud_value,linked_accounts,device_type
109.0,23,0,0.0,1,mobile
110.0,40,2,29.869999999999997,1,mobile
111.0,130,1,1261.68,1,desktop
112.0,28,0,0.0,1,mobile
113.0,106,2,2335.13,1,mobile
114.0,7,0,0.0,1,desktop
115.0,29,0,0.0,1,desktop
116.0,75,0,0.0,1,mobile
117.0,111,0,0.0,1,mobile
118.0,86,1,230.48,1,mobile
119.0,27,0,0.0,1,desktop
120.0,120,0,0.0,1,mobile
121.0,60,1,104.87,1,mobile
122.0,46,0,0.0,1,tablet
123.0,121,0,0.0,1,desktop
124.0,76,1,113.59,1,mobile
125.0,30,0,0.0,1,mobile
126.0,48,0,0.0,1,desktop
127.0,77,0,0.0,1,mobile
128.0,135,0,0.0,1,mobile
129.0,39,0,0.0,1,desktop
130.0,66,1,34.44,1,mobile
131.0,130,2,386.81,1,desktop
132.0,117,0,0.0,1,mobile
133.0,21,0,0.0,1,mobile
134.0,83,1,111.09,1,mobile
135.0,6,0,0.0,1,mobile
136.0,30,0,0.0,1,mobile
137.0,65,0,0.0,1,mobile
138.0,35,0,0.0,1,tablet
139.0,87,0,0.0,1,desktop
140.0,32,0,0.0,1,desktop
141.0,38,1,1225.42,1,mobile
142.0,83,1,1040.77,1,mobile
143.0,128,1,359.23,1,mobile
144.0,158,0,0.0,1,desktop
145.0,92,1,103.05,1,mobile
146.0,52,0,0.0,2,mobile
147.0,59,0,0.0,1,desktop
148.0,56,0,0.0,1,mobile
149.0,112,0,0.0,1,mobile
150.0,132,2,553.9300000000001,1,mobile
151.0,23,0,0.0,1,desktop
152.0,78,2,95.05,1,desktop
153.0,276,0,0.0,2,mobile
154.0,164,0,0.0,2,mobile
155.0,48,0,0.0,1,mobile
156.0,124,1,65.23,1,mobile
157.0,221,1,144.44,2,mobile
158.0,126,1,198.03,1,mobile
159.0,78,1,601.28,1,desktop
160.0,43,0,0.0,1,mobile
161.0,67,0,0.0,1,mobile
162.0,33,0,0.0,1,desktop
163.0,15,2,59.43,1,mobile
164.0,125,0,0.0,1,mobile
165.0,39,0,0.0,1,mobile
166.0,65,0,0.0,1,mobile
167.0,22,0,0.0,1,tablet
168.0,120,0,0.0,1,desktop
169.0,130,1,127.2,1,mobile
170.0,44,0,0.0,1,mobile
171.0,78,1,20.41,1,mobile
172.0,124,0,0.0,1,mobile
173.0,122,1,632.76,1,tablet
174.0,67,1,388.93,1,mobile
175.0,43,0,0.0,1,desktop
176.0,112,1,25.93,1,mobile
177.0,48,0,0.0,1,mobile
178.0,83,0,0.0,1,mobile
179.0,114,0,0.0,1,mobile
180.0,119,0,0.0,1,desktop
181.0,100,0,0.0,1,mobile
182.0,94,2,2901.53,1,desktop
183.0,62,0,0.0,1,mobile
184.0,47,0,0.0,1,mobile
185.0,114,1,4.75,1,desktop
186.0,85,0,0.0,1,mobile
187.0,49,0,0.0,1,mobile
188.0,118,2,70.3,1,mobile
189.0,108,0,0.0,1,mobile
190.0,102,0,0.0,1,mobile
191.0,22,0,0.0,1,mobile
192.0,117,0,0.0,1,desktop
193.0,125,0,0.0,1,mobile
194.0,122,0,0.0,1,mobile
195.0,103,1,51.62,1,mobile
196.0,126,2,23.15,1,mobile
197.0,39,0,0.0,1,desktop
198.0,30,0,0.0,1,mobile
199.0,126,1,115.69,1,mobile
200.0,131,1,133.83,1,desktop
201.0,141,1,737.66,1,desktop
202.0,49,0,0.0,1,mobile
203.0,55,0,0.0,1,mobile
204.0,112,1,98.0,1,tablet
205.0,122,1,222.47,1,mobile
206.0,98,0,0.0,1,mobile
207.0,50,2,797.5799999999999,1,mobile
208.0,62,1,75.69,1,mobile
209.0,244,2,487.95,2,desktop
210.0,32,0,0.0,1,mobile
211.0,89,2,128.05,1,mobile
212.0,132,0,0.0,1,mobile
213.0,62,0,0.0,1,mobile
214.0,55,0,0.0,1,mobile
215.0,8,0,0.0,1,mobile
216.0,29,0,0.0,1,tablet
217.0,90,1,537.22,1,mobile
218.0,11,0,0.0,1,desktop
219.0,48,1,396.78,1,mobile
220.0,72,0,0.0,1,mobile
221.0,86,0,0.0,1,tablet
222.0,40,0,0.0,1,mobile
223.0,56,1,163.97,1,tablet
224.0,63,1,42.02,1,mobile
225.0,67,0,0.0,1,desktop
226.0,34,0,0.0,1,mobile
227.0,116,1,4246.77,1,mobile
228.0,29,0,0.0,1,mobile
229.0,87,0,0.0,1,mobile
230.0,119,2,53.7,1,mobile
231.0,51,0,0.0,1,mobile
232.0,74,1,894.54,1,mobile
233.0,147,0,0.0,1,mobile
234.0,101,1,124.21,1,desktop
235.0,40,0,0.0,2,desktop
236.0,115,0,0.0,1,tablet
237.0,127,0,0.0,1,desktop
238.0,95,1,43.18,1,mobile
239.0,43,0,0.0,1,mobile
240.0,61,1,19.38,1,mobile
241.0,132,1,20.17,1,mobile
242.0,67,1,36.41,1,tablet
243.0,34,0,0.0,1,desktop
244.0,15,0,0.0,1,desktop
245.0,88,0,0.0,1,desktop
246.0,36,0,0.0,1,mobile
247.0,122,0,0.0,1,mobile
248.0,19,0,0.0,1,desktop
249.0,30,1,614.06,1,mobile
250.0,45,1,126.01,1,mobile
251.0,48,0,0.0,1,desktop
252.0,142,0,0.0,1,mobile
253.0,101,0,0.0,1,mobile
254.0,26,0,0.0,1,mobile
255.0,120,1,256.54,1,mobile
256.0,164,0,0.0,2,mobile
257.0,118,1,372.35,1,mobile
258.0,119,0,0.0,1,tablet
259.0,127,0,0.0,1,desktop
260.0,41,0,0.0,1,mobile
261.0,22,1,13.77,1,mobile
262.0,53,3,93.2,1,mobile
263.0,121,1,225.57,1,mobile
264.0,64,0,0.0,1,desktop
265.0,7,0,0.0,1,mobile
266.0,59,0,0.0,2,desktop
267.0,38,0,0.0,1,mobile
268.0,66,0,0.0,1,mobile
269.0,51,0,0.0,1,mobile
270.0,93,1,36.75,1,mobile
271.0,152,2,1421.3600000000001,2,desktop
272.0,86,0,0.0,1,mobile
273.0,51,0,0.0,1,mobile
274.0,125,0,0.0,2,desktop
275.0,49,0,0.0,1,mobile
276.0,128,0,0.0,1,mobile
277.0,130,1,3.42,1,desktop
278.0,109,1,307.41,1,desktop
279.0,125,0,0.0,1,desktop
280.0,131,0,0.0,1,mobile
281.0,121,2,358.84999999999997,1,mobile
282.0,47,0,0.0,1,mobile
283.0,13,0,0.0,1,desktop
284.0,28,0,0.0,1,desktop
285.0,35,0,0.0,1,mobile
286.0,123,1,628.05,1,desktop
287.0,41,0,0.0,1,desktop
288.0,61,0,0.0,1,mobile
289.0,2,0,0.0,1,mobile
290.0,120,1,4112.98,1,mobile
291.0,80,0,0.0,1,mobile
292.0,57,0,0.0,1,desktop
293.0,114,1,474.04,1,mobile
294.0,42,0,0.0,1,desktop
295.0,33,0,0.0,1,mobile
296.0,34,0,0.0,1,mobile
297.0,69,0,0.0,1,mobile
298.0,52,1,7338.6,1,desktop
299.0,143,0,0.0,1,mobile
300.0,55,1,71.57,2,mobile
301.0,66,0,0.0,1,mobile
302.0,47,0,0.0,1,desktop
303.0,142,0,0.0,1,desktop
304.0,12,1,96.58,1,mobile
305.0,66,1,85.13,1,desktop
306.0,43,0,0.0,1,mobile
307.0,113,1,142.98,1,tablet
308.0,118,2,217.33,1,desktop
309.0,114,1,53.18,1,mobile
310.0,63,1,4548.78,1,mobile
311.0,65,0,0.0,1,mobile
312.0,49,1,828.48,1,desktop
313.0,71,0,0.0,1,mobile
314.0,64,0,0.0,1,mobile
315.0,55,0,0.0,1,mobile
316.0,172,0,0.0,2,mobile
317.0,123,0,0.0,1,tablet
318.0,131,2,126.48,1,tablet
319.0,111,1,70.64,1,mobile
320.0,123,0,0.0,1,mobile
321.0,109,0,0.0,1,mobile
322.0,242,1,62.85,2,tablet
323.0,94,0,0.0,1,mobile
324.0,28,0,0.0,1,mobile
325.0,232,1,14.58,2,mobile
326.0,10,0,0.0,1,desktop
327.0,29,0,0.0,1,desktop
328.0,33,1,77.33,1,mobile
329.0,78,1,220.67,1,mobile
330.0,60,0,0.0,1,desktop
331.0,47,0,0.0,1,mobile
332.0,55,0,0.0,1,desktop
333.0,61,1,134.82,1,mobile
334.0,132,0,0.0,1,mobile
335.0,1,0,0.0,1,desktop
336.0,84,1,118.45,1,mobile
337.0,24,0,0.0,1,mobile
338.0,118,1,429.05,1,mobile
339.0,117,0,0.0,1,mobile
340.0,44,1,69.11,1,desktop
341.0,74,0,0.0,1,mobile
342.0,51,0,0.0,1,desktop
343.0,58,0,0.0,1,desktop
344.0,128,0,0.0,1,mobile
345.0,62,1,56.97,1,mobile
346.0,60,0,0.0,1,desktop
347.0,66,0,0.0,1,desktop
348.0,52,1,575.89,1,mobile
349.0,124,0,0.0,1,tablet
350.0,25,0,0.0,1,mobile
351.0,11,0,0.0,1,desktop
352.0,91,1,98.08,1,mobile
353.0,112,1,2540.93,1,mobile
354.0,25,0,0.0,1,mobile
355.0,104,0,0.0,1,mobile
356.0,70,1,15.14,1,mobile
357.0,46,1,11.28,1,mobile
358.0,123,1,7.52,1,mobile
359.0,45,0,0.0,1,mobile
360.0,89,0,0.0,1,desktop
361.0,124,2,105.94999999999999,1,mobile
362.0,45,1,305.06,1,desktop
363.0,70,0,0.0,1,desktop
364.0,91,0,0.0,1,mobile
365.0,22,0,0.0,1,mobile
366.0,85,1,114.84,1,desktop
367.0,38,1,154.42,1,desktop
368.0,27,0,0.0,1,desktop
369.0,44,0,0.0,1,tablet
370.0,53,0,0.0,1,mobile
371.0,22,0,0.0,1,mobile
372.0,105,1,109.61,1,desktop
373.0,220,1,81.9,2,mobile
374.0,129,1,317.6,1,mobile
375.0,97,0,0.0,1,mobile
376.0,27,0,0.0,1,mobile
377.0,113,0,0.0,1,mobile
378.0,151,1,25.9,2,mobile
379.0,116,1,785.89,1,mobile
380.0,39,0,0.0,1,mobile
381.0,82,1,8.91,1,mobile
382.0,23,0,0.0,1,mobile
383.0,142,0,0.0,2,desktop
384.0,67,0,0.0,1,mobile
385.0,63,1,14.94,1,mobile
386.0,121,1,2347.11,1,desktop
387.0,8,0,0.0,1,mobile
388.0,39,0,0.0,1,desktop
389.0,78,0,0.0,1,mobile
390.0,10,0,0.0,1,mobile
391.0,122,0,0.0,1,mobile
392.0,116,1,644.63,1,mobile
393.0,117,1,138.15,1,mobile
394.0,146,1,674.19,2,desktop
395.0,40,0,0.0,1,mobile
396.0,30,1,52.66,1,mobile
397.0,12,0,0.0,1,mobile
398.0,27,0,0.0,1,mobile
399.0,12,0,0.0,1,desktop
400.0,183,1,41.91,2,mobile
401.0,125,1,22.76,1,tablet
402.0,61,0,0.0,1,desktop
403.0,62,0,0.0,1,mobile
404.0,39,1,678.16,1,tablet
405.0,54,1,957.88,1,mobile
406.0,32,0,0.0,1,desktop
407.0,126,1,30.19,1,mobile
408.0,131,1,12.88,1,mobile
409.0,52,0,0.0,1,mobile
410.0,108,1,49.88,2,desktop
411.0,122,0,0.0,1,mobile
412.0,39,0,0.0,1,mobile
413.0,87,0,0.0,1,mobile
414.0,124,0,0.0,1,desktop
415.0,130,0,0.0,1,mobile
416.0,116,1,43.5,1,mobile
417.0,63,0,0.0,1,mobile
418.0,58,1,26.36,1,desktop
419.0,133,0,0.0,1,desktop
420.0,122,0,0.0,1,mobile
421.0,115,0,0.0,1,tablet
422.0,127,1,189.36,1,mobile
423.0,49,1,922.97,1,mobile
424.0,60,0,0.0,1,mobile
425.0,104,0,0.0,1,mobile
426.0,107,0,0.0,1,tablet
427.0,125,0,0.0,1,mobile
428.0,108,0,0.0,1,mobile
429.0,126,0,0.0,1,mobile
430.0,109,0,0.0,1,mobile
431.0,53,1,893.98,1,mobile
432.0,78,0,0.0,1,mobile
433.0,119,1,24.02,1,tablet
434.0,123,0,0.0,1,desktop
435.0,114,0,0.0,1,desktop
436.0,45,0,0.0,1,desktop
437.0,84,0,0.0,1,desktop
438.0,125,0,0.0,1,mobile
439.0,69,0,0.0,1,tablet
440.0,48,0,0.0,1,mobile
441.0,61,0,0.0,1,mobile
442.0,3,0,0.0,1,mobile
443.0,53,0,0.0,1,mobile
444.0,128,0,0.0,1,desktop
445.0,106,1,59.74,1,desktop
446.0,50,0,0.0,1,mobile
447.0,65,1,31.66,1,desktop
448.0,26,1,414.82,1,desktop
449.0,102,1,663.4,1,mobile
450.0,7,0,0.0,1,desktop
451.0,107,1,951.59,1,mobile
452.0,49,0,0.0,1,mobile
453.0,72,1,1301.45,1,mobile
454.0,52,1,15.36,2,mobile
455.0,109,2,2762.85,1,tablet
456.0,133,0,0.0,1,mobile
457.0,19,0,0.0,1,mobile
458.0,77,0,0.0,1,mobile
459.0,110,0,0.0,1,mobile
460.0,46,1,23.65,1,mobile
461.0,37,0,0.0,1,desktop
462.0,23,0,0.0,1,mobile
463.0,123,1,797.2,1,mobile
464.0,150,0,0.0,1,mobile
465.0,100,1,105.41,2,desktop
466.0,64,1,37.75,1,mobile
467.0,110,1,14.15,1,mobile
468.0,107,2,67.24000000000001,1,mobile
469.0,132,0,0.0,1,tablet
470.0,59,1,19.36,1,mobile
471.0,70,3,346.59000000000003,1,mobile
472.0,118,1,147.53,1,mobile
473.0,32,0,0.0,1,mobile
474.0,87,0,0.0,1,desktop
475.0,82,4,755.72,1,mobile
476.0,38,0,0.0,1,mobile
477.0,117,2,1090.65,1,desktop
478.0,41,0,0.0,1,desktop
479.0,78,1,114.72,1,mobile
480.0,127,0,0.0,1,mobile
481.0,115,0,0.0,1,mobile
482.0,117,1,248.95,1,mobile
483.0,151,0,0.0,2,mobile
484.0,78,0,0.0,1,desktop
485.0,66,1,75.97,1,mobile
486.0,40,0,0.0,1,desktop
487.0,51,2,343.64,1,mobile
488.0,37,0,0.0,1,mobile
489.0,106,0,0.0,1,mobile
490.0,138,0,0.0,1,mobile
491.0,110,1,20.72,1,desktop
492.0,105,0,0.0,1,mobile
493.0,61,1,169.17,1,mobile
494.0,33,0,0.0,1,mobile
495.0,121,0,0.0,1,mobile
496.0,97,0,0.0,1,mobile
497.0,28,0,0.0,1,desktop
498.0,144,0,0.0,1,mobile
499.0,104,0,0.0,1,desktop
500.0,33,0,0.0,1,desktop
501.0,77,1,670.44,1,desktop
502.0,123,2,1081.5,1,mobile
503.0,49,0,0.0,1,mobile
504.0,67,2,270.24,1,tablet
505.0,81,0,0.0,1,mobile
506.0,45,0,0.0,1,tablet
507.0,115,1,3144.39,1,mobile
508.0,124,1,7.91,1,mobile
509.0,129,1,21.22,1,desktop
510.0,26,0,0.0,1,mobile
511.0,59,0,0.0,1,mobile
512.0,76,0,0.0,2,mobile
513.0,71,0,0.0,1,mobile
514.0,53,0,0.0,1,mobile
515.0,4,0,0.0,1,mobile
516.0,114,0,0.0,1,desktop
517.0,32,1,386.31,1,desktop
518.0,171,0,0.0,2,mobile
519.0,21,0,0.0,1,mobile
520.0,89,1,26.0,1,mobile
521.0,100,1,45.1,1,desktop
522.0,18,0,0.0,1,mobile
523.0,152,2,368.17999999999995,2,desktop
525.0,20,0,0.0,1,mobile
526.0,117,1,18.45,1,desktop
527.0,83,0,0.0,1,mobile
528.0,63,1,634.6,1,mobile
529.0,73,0,0.0,1,mobile
530.0,49,0,0.0,1,mobile
531.0,117,0,0.0,1,mobile
532.0,112,0,0.0,1,desktop
533.0,117,0,0.0,1,desktop
534.0,105,0,0.0,1,desktop
535.0,10,0,0.0,1,mobile
536.0,64,1,103.8,1,mobile
537.0,80,0,0.0,1,mobile
538.0,34,0,0.0,1,desktop
539.0,56,0,0.0,1,mobile
540.0,3,0,0.0,1,mobile
541.0,127,5,3526.55,1,desktop
542.0,65,0,0.0,1,mobile
543.0,14,0,0.0,1,mobile
544.0,36,1,23.8,1,mobile
545.0,60,0,0.0,1,mobile
546.0,120,1,8.24,1,desktop
547.0,117,2,655.43,1,mobile
548.0,95,1,284.62,1,mobile
549.0,17,0,0.0,1,desktop
550.0,80,1,799.96,1,mobile
551.0,53,0,0.0,1,mobile
552.0,127,0,0.0,1,mobile
553.0,102,0,0.0,1,mobile
554.0,6,0,0.0,1,mobile
555.0,110,0,0.0,1,desktop
556.0,72,0,0.0,1,desktop
557.0,62,0,0.0,1,mobile
558.0,58,0,0.0,1,desktop
559.0,34,1,46.4,1,mobile
560.0,46,0,0.0,1,mobile
561.0,114,0,0.0,1,desktop
562.0,150,0,0.0,1,mobile
563.0,70,0,0.0,1,desktop
564.0,77,0,0.0,1,mobile
565.0,72,0,0.0,1,mobile
566.0,38,1,649.47,1,desktop
567.0,129,0,0.0,1,mobile
568.0,104,0,0.0,1,desktop
569.0,110,0,0.0,1,mobile
570.0,86,0,0.0,1,desktop
571.0,42,0,0.0,1,mobile
572.0,94,0,0.0,1,desktop
573.0,113,0,0.0,1,tablet
574.0,112,2,30.82,1,mobile
575.0,125,1,9.28,1,desktop
576.0,111,0,0.0,1,desktop
577.0,144,0,0.0,1,desktop
578.0,47,1,157.66,1,mobile
579.0,83,0,0.0,1,tablet
580.0,57,1,3.55,1,desktop
581.0,132,1,394.96,1,mobile
582.0,49,0,0.0,1,desktop
583.0,123,1,176.01,2,mobile
584.0,121,3,2677.8,1,desktop
585.0,86,1,17.5,1,desktop
586.0,44,0,0.0,1,mobile
587.0,45,0,0.0,1,mobile
588.0,67,3,11375.42,1,mobile
589.0,116,1,127.08,1,mobile
590.0,62,2,150.45,1,mobile
591.0,49,1,439.98,1,mobile
592.0,111,1,16.71,1,mobile
593.0,60,0,0.0,1,mobile
594.0,17,0,0.0,1,desktop
595.0,53,0,0.0,1,mobile
596.0,117,0,0.0,1,mobile
597.0,62,0,0.0,1,mobile
598.0,54,0,0.0,1,tablet
599.0,132,5,651.3,1,tablet
600.0,117,2,76.53999999999999,1,mobile
601.0,129,0,0.0,1,desktop
602.0,87,1,22.16,1,desktop
603.0,33,1,19.24,1,mobile
604.0,132,1,188.51,2,desktop
605.0,134,0,0.0,1,mobile
606.0,116,4,697.68,1,mobile
607.0,137,0,0.0,1,mobile
608.0,109,1,277.17,1,desktop
609.0,99,2,429.96000000000004,1,mobile
610.0,148,1,16.61,1,mobile
611.0,22,0,0.0,1,mobile
612.0,28,1,71.47,1,mobile
613.0,41,0,0.0,1,mobile
614.0,28,0,0.0,1,mobile
615.0,123,0,0.0,1,mobile
616.0,31,1,18.67,1,mobile
617.0,94,0,0.0,1,mobile
618.0,105,0,0.0,1,desktop
619.0,59,0,0.0,1,mobile
620.0,165,1,390.77,2,mobile
621.0,104,1,77.29,1,mobile
622.0,122,2,276.9,1,mobile
623.0,55,1,4474.28,1,desktop
624.0,34,1,160.66,1,desktop
625.0,167,0,0.0,2,desktop
626.0,109,0,0.0,1,desktop
627.0,65,0,0.0,1,desktop
628.0,110,2,4996.29,1,desktop
629.0,126,2,241.53000000000003,1,desktop
630.0,128,0,0.0,1,mobile
631.0,204,2,343.42,2,desktop
632.0,78,1,55.73,1,mobile
633.0,48,0,0.0,1,mobile
634.0,116,0,0.0,1,desktop
635.0,118,0,0.0,1,desktop
636.0,112,0,0.0,1,mobile
637.0,116,1,148.47,1,tablet
638.0,137,0,0.0,1,mobile
639.0,108,1,165.5,1,desktop
640.0,100,1,27.49,1,mobile
641.0,72,1,14.08,1,desktop
642.0,65,0,0.0,1,desktop
643.0,65,1,87.45,1,desktop
644.0,28,1,39.86,1,mobile
645.0,45,0,0.0,1,mobile
646.0,120,1,204.54,1,tablet
647.0,133,1,8.96,1,mobile
648.0,139,0,0.0,1,mobile
649.0,81,1,84.71,1,desktop
650.0,28,0,0.0,1,desktop
651.0,102,0,0.0,1,mobile
652.0,111,0,0.0,1,mobile
653.0,58,0,0.0,1,desktop
654.0,71,8,74.36,1,mobile
655.0,125,0,0.0,1,desktop
656.0,116,0,0.0,1,mobile
657.0,71,1,5.55,1,desktop
658.0,37,0,0.0,1,mobile
659.0,83,1,7.57,1,mobile
660.0,26,0,0.0,1,mobile
661.0,139,1,936.33,1,mobile
662.0,111,0,0.0,1,mobile
663.0,121,1,659.44,1,mobile
664.0,98,0,0.0,1,desktop
665.0,35,0,0.0,1,tablet
666.0,203,1,4.75,2,mobile
667.0,55,0,0.0,1,mobile
668.0,58,0,0.0,1,desktop
669.0,118,1,394.33,1,mobile
670.0,115,0,0.0,1,desktop
671.0,140,1,82.95,1,desktop
672.0,39,0,0.0,1,desktop
673.0,105,0,0.0,2,desktop
674.0,134,0,0.0,1,desktop
675.0,43,0,0.0,1,desktop
676.0,94,0,0.0,1,desktop
677.0,55,0,0.0,1,mobile
678.0,59,0,0.0,1,mobile
679.0,123,1,1227.64,1,mobile
680.0,35,0,0.0,1,desktop
681.0,128,0,0.0,2,desktop
682.0,103,0,0.0,1,mobile
683.0,120,0,0.0,1,desktop
684.0,119,0,0.0,1,mobile
685.0,93,0,0.0,1,mobile
686.0,125,0,0.0,1,mobile
687.0,117,1,3853.26,1,mobile
688.0,123,5,246.68,1,mobile
689.0,36,0,0.0,1,mobile
690.0,71,1,274.28,1,mobile
691.0,100,1,220.94,1,desktop
692.0,119,2,592.62,1,mobile
693.0,55,1,451.95,1,mobile
694.0,23,0,0.0,1,mobile
695.0,37,0,0.0,1,mobile
696.0,106,1,86.34,1,mobile
697.0,119,0,0.0,1,desktop
698.0,54,0,0.0,1,desktop
699.0,28,0,0.0,1,mobile
700.0,8,0,0.0,1,mobile
701.0,109,2,887.72,1,mobile
702.0,113,1,1859.0,1,mobile
703.0,110,0,0.0,1,mobile
704.0,33,0,0.0,1,mobile
705.0,88,0,0.0,1,desktop
706.0,64,0,0.0,1,desktop
707.0,43,0,0.0,1,mobile
708.0,33,0,0.0,1,desktop
709.0,82,2,3618.7000000000003,1,desktop
710.0,121,2,148.55,1,desktop
711.0,2,0,0.0,1,desktop
712.0,88,0,0.0,1,mobile
713.0,27,0,0.0,1,mobile
714.0,39,1,6.08,1,mobile
715.0,93,1,17.68,1,desktop
716.0,184,0,0.0,2,mobile
717.0,105,1,317.69,1,mobile
718.0,15,0,0.0,1,mobile
719.0,73,1,14.73,1,mobile
720.0,31,0,0.0,1,desktop
721.0,53,1,295.0,1,mobile
722.0,84,1,246.6,1,desktop
723.0,113,0,0.0,1,mobile
724.0,32,0,0.0,1,mobile
725.0,63,1,643.81,1,mobile
726.0,104,0,0.0,1,mobile
727.0,122,1,1520.3,1,tablet
728.0,146,1,153.75,1,mobile
729.0,112,0,0.0,1,mobile
730.0,127,0,0.0,1,mobile
731.0,60,2,291.94,1,mobile
732.0,72,0,0.0,1,mobile
733.0,93,0,0.0,1,mobile
734.0,28,0,0.0,1,mobile
735.0,123,2,199.08,1,mobile
736.0,132,0,0.0,1,mobile
737.0,125,0,0.0,1,mobile
738.0,5,0,0.0,1,mobile
739.0,23,0,0.0,1,mobile
740.0,63,0,0.0,1,mobile
741.0,25,0,0.0,1,mobile
742.0,49,1,149.33,1,mobile
743.0,73,1,48.28,1,mobile
744.0,28,0,0.0,1,mobile
745.0,78,0,0.0,1,mobile
746.0,28,1,178.49,1,tablet
747.0,87,0,0.0,1,mobile
748.0,78,0,0.0,1,desktop
749.0,42,0,0.0,1,mobile
750.0,109,3,5181.990000000001,1,mobile
751.0,69,1,53.89,1,mobile
752.0,49,0,0.0,1,desktop
753.0,56,1,183.55,1,desktop
754.0,46,2,1271.86,1,desktop
755.0,118,0,0.0,1,mobile
756.0,122,1,487.61,1,mobile
757.0,112,0,0.0,1,desktop
758.0,110,0,0.0,1,mobile
759.0,56,1,201.94,1,tablet
760.0,27,0,0.0,1,mobile
761.0,31,0,0.0,1,mobile
762.0,123,0,0.0,1,desktop
763.0,117,0,0.0,1,desktop
764.0,130,0,0.0,1,mobile
765.0,111,1,244.72,1,desktop
766.0,53,1,5.09,1,mobile
767.0,72,0,0.0,1,mobile
768.0,111,3,239.78,1,mobile
769.0,38,0,0.0,1,desktop
770.0,24,0,0.0,1,tablet
