merchant_id,total_txns,total_value,fraud_txns,fraud_value,fraud_rate_pct,merchant_category,merchant_country,merchant_risk_score,merchant_age_days,is_high_risk_outlier
36,943,232290.59,6,2293.1499999999996,0.6363,gift_cards,US,3.217,2818,False
37,849,278385.12,2,919.62,0.2356,utilities,US,0.171,1127,False
38,917,339732.48,12,4716.69,1.3086,money_transfer,US,2.457,1569,False
39,933,289453.67,7,914.56,0.7503,travel,US,1.603,1510,False
40,934,285968.29,10,1503.76,1.0707,gambling,US,4.39,162,False
41,875,238012.33,5,1417.92,0.5714,clothing_retail,US,0.556,1413,False
42,957,289516.84,6,1329.32,0.627,travel,US,1.004,277,False
43,906,264678.86,7,3293.74,0.7726,travel,CA,1.51,2084,False
44,877,248700.71,4,365.46,0.4561,clothing_retail,US,1.154,1077,False
45,938,252535.73,9,1153.72,0.9595,digital_goods,US,6.229,620,False
46,883,235340.67,4,604.86,0.453,healthcare,US,0.149,595,False
47,940,305063.41,7,7209.91,0.7447,restaurant,US,0.518,1571,False
48,876,242539.12,6,2054.5299999999997,0.6849,gas_station,US,0.413,532,False
49,872,234952.47,4,1981.53,0.4587,travel,US,0.828,1521,False
50,896,248151.45,2,3674.71,0.2232,restaurant,US,0.364,167,False
51,858,273311.89,3,234.85,0.3497,clothing_retail,US,0.638,2717,False
52,888,235830.79,11,890.23,1.2387,money_transfer,US,3.623,487,False
53,886,265535.58,4,1178.3999999999999,0.4515,travel,US,1.537,2421,False
54,936,225163.15,3,97.49000000000001,0.3205,digital_goods,US,2.744,2961,False
55,878,242836.46,5,1056.45,0.5695,money_transfer,US,5.69,2642,False
56,975,270030.85,7,2036.85,0.7179,restaurant,AU,0.848,2530,False
57,950,250565.69,3,1764.5700000000002,0.3158,utilities,US,0.101,2629,False
58,884,238763.9,8,672.33,0.905,electronics,US,1.478,1545,False
59,902,237108.3,1,124.56,0.1109,healthcare,US,0.185,328,False
60,912,267853.76,3,463.8,0.3289,electronics,US,1.641,2256,False
61,938,232750.97,5,885.74,0.533,subscription,US,0.474,1528,False
62,831,186591.45,1,3476.91,0.1203,restaurant,US,0.22,715,False
63,851,217124.39,4,3740.44,0.47,healthcare,US,0.117,2616,False
64,871,230707.13999999998,9,3222.88,1.0333,subscription,US,0.789,1297,False
65,895,265448.94,7,5290.71,0.7821,digital_goods,US,3.374,2480,False
66,929,246983.07,2,1188.49,0.2153,home_improvement,US,0.456,954,False
67,883,225610.46,10,1592.83,1.1325,gas_station,US,0.454,2749,False
68,904,241417.34,4,301.65,0.4425,gambling,US,2.288,2790,False
69,918,262432.89,6,11786.14,0.6536,jewelry,US,1.271,155,False
70,927,283683.37,7,3773.38,0.7551,home_improvement,US,0.308,2945,False
71,899,294935.43,1,300.85,0.1112,gas_station,US,0.373,1277,False
72,917,263789.61,3,104.16,0.3272,digital_goods,US,1.42,220,False
73,925,240555.82,10,2659.08,1.0811,electronics,US,4.46,374,True
74,924,251753.29,5,12027.09,0.5411,gift_cards,US,2.232,1071,False
75,931,328698.8,5,209.73,0.5371,restaurant,US,0.407,393,False
76,860,255213.05,3,121.97,0.3488,travel,US,0.719,2379,False
77,945,240964.28,7,4842.360000000001,0.7407,grocery,US,0.379,1689,False
78,894,248300.09,3,2891.1,0.3356,healthcare,US,0.237,783,False
79,927,254050.65,5,2906.54,0.5394,jewelry,US,1.792,2957,False
80,932,280972.49,5,844.18,0.5365,travel,GB,6.951,1417,True
81,932,315935.0,7,938.28,0.7511,jewelry,US,2.13,2275,False
82,903,254088.41,4,413.73,0.443,grocery,US,0.317,1127,False
83,913,239652.58,6,1129.29,0.6572,money_transfer,US,1.874,1626,False
84,866,242129.84,3,1033.07,0.3464,grocery,US,0.219,1566,False
85,887,271795.04,8,8228.619999999999,0.9019,gas_station,CA,0.385,2513,False
86,908,279753.25,4,3738.29,0.4405,jewelry,US,3.008,2333,False
87,873,233143.53,6,1529.17,0.6873,grocery,US,0.441,1904,False
88,882,254914.38,8,1895.51,0.907,clothing_retail,CA,0.557,483,False
89,870,316904.83,1,119.11,0.1149,home_improvement,US,0.428,283,False
90,934,262419.11,1,115.58,0.1071,gas_station,US,0.704,241,False
91,926,245360.2,9,1590.94,0.9719,home_improvement,US,0.349,1891,False
92,922,315202.08,4,10814.08,0.4338,gas_station,US,0.279,2616,False
93,914,234114.89,5,2171.7599999999998,0.547,healthcare,US,0.266,259,False
94,887,220290.68,8,1805.28,0.9019,gift_cards,US,3.556,1822,False
95,942,249719.98,7,11133.6,0.7431,grocery,US,0.337,1137,False
96,933,265479.06,11,4903.27,1.179,money_transfer,US,5.138,2756,False
97,853,198095.13,3,203.71,0.3517,subscription,US,0.91,1121,False
98,902,237301.98,5,606.72,0.5543,clothing_retail,US,0.897,2205,False
99,912,286326.85,7,3078.7,0.7675,gift_cards,US,1.878,2958,False
100,875,247446.84,7,10150.599999999999,0.8,clothing_retail,US,0.382,1070,False
101,879,227984.28,7,648.48,0.7964,money_transfer,US,4.027,408,False
102,892,274524.7,4,1248.56,0.4484,travel,US,1.334,2840,False
103,950,289038.76,9,1461.84,0.9474,travel,US,1.375,2546,False
104,865,234262.41,5,6840.76,0.578,grocery,CA,0.59,690,False
105,889,271668.69,6,5034.23,0.6749,gift_cards,US,4.33,931,False
106,934,261747.36,4,470.73,0.4283,travel,US,1.208,1655,False
107,943,323156.44,4,692.78,0.4242,healthcare,US,0.149,1457,False
108,846,227371.1,2,1224.56,0.2364,travel,GB,1.683,1496,False
109,867,223139.72,5,403.71999999999997,0.5767,healthcare,US,0.241,2664,False
110,943,276891.97,2,3245.56,0.2121,healthcare,US,0.184,2507,False
111,849,251566.61000000002,6,5110.01,0.7067,restaurant,AU,0.134,1278,False
112,922,286631.5,3,18052.55,0.3254,utilities,US,0.068,2153,False
113,926,231197.32,4,1576.3000000000002,0.432,restaurant,US,0.561,2039,False
114,895,230578.58000000002,3,346.99999999999994,0.3352,grocery,US,0.179,1506,False
115,831,261336.36000000002,12,4015.2200000000003,1.444,gambling,US,3.53,2655,False
116,876,278382.74,3,431.66999999999996,0.3425,restaurant,US,0.478,2170,False
117,915,325277.46,4,2575.94,0.4372,clothing_retail,US,0.471,620,False
118,852,216761.65,12,1575.49,1.4085,gift_cards,AU,4.3,1064,False
119,906,231425.16,9,4107.63,0.9934,money_transfer,GB,3.39,1011,False
120,852,207559.29,3,2479.6099999999997,0.3521,restaurant,US,0.377,2780,False
121,916,279646.94,4,1945.75,0.4367,subscription,US,0.379,1834,False
122,887,282231.52999999997,8,652.73,0.9019,restaurant,US,0.672,37,False
123,905,253004.29,8,1025.81,0.884,travel,US,0.807,1138,False
124,908,229767.64,3,448.95,0.3304,jewelry,US,1.359,2038,False
125,883,284390.2,4,1301.76,0.453,electronics,US,1.905,1343,False
126,929,250193.76,3,1218.66,0.3229,home_improvement,US,0.27,1981,False
127,934,241959.7,11,16022.05,1.1777,money_transfer,US,8.0,2152,False
128,902,245426.72,12,7968.16,1.3304,clothing_retail,AU,0.471,290,False
129,910,240304.55,4,569.5300000000001,0.4396,restaurant,US,0.549,2607,False
130,896,266199.86,4,82.67,0.4464,jewelry,US,4.245,2071,False
131,888,229001.44,2,133.57999999999998,0.2252,subscription,US,0.799,1149,False
132,923,260775.56,7,2042.0300000000002,0.7584,gift_cards,US,2.218,1419,False
133,894,286518.24,2,110.94,0.2237,healthcare,US,0.229,820,False
134,853,266052.44,7,1272.18,0.8206,digital_goods,US,4.299,1807,False
135,885,220891.61,2,59.99,0.226,grocery,US,0.165,2203,False
136,918,336260.79,11,24772.56,1.1983,electronics,US,2.792,1618,False
137,857,228886.49,7,1756.15,0.8168,home_improvement,US,0.487,1803,False
138,907,284425.36,4,534.37,0.441,utilities,US,0.213,2318,False
139,891,257440.74,11,8214.35,1.2346,money_transfer,US,4.154,2236,False
140,922,235193.87,2,2906.86,0.2169,restaurant,CA,0.425,2339,False
141,917,223276.97,4,156.14,0.4362,money_transfer,US,4.601,2821,False
142,883,231753.99,3,2051.41,0.3398,electronics,US,1.096,2102,False
143,930,255198.34,2,1557.18,0.2151,clothing_retail,GB,0.505,711,False
144,911,246515.0,2,263.26,0.2195,travel,US,1.337,782,False
145,933,241425.6,7,2092.05,0.7503,jewelry,US,1.784,2282,False
146,896,213310.35,6,3146.4800000000005,0.6696,jewelry,US,1.723,350,False
147,871,259724.83,5,2028.5,0.5741,clothing_retail,US,1.582,837,False
148,947,230035.02,11,2206.51,1.1616,gift_cards,US,6.148,2496,False
149,855,232300.59,1,101.64,0.117,healthcare,US,0.072,759,False
150,916,307983.44,6,6731.84,0.655,electronics,US,1.829,2233,False
151,864,253240.31,5,1119.08,0.5787,gift_cards,CA,1.862,2168,False
152,916,267177.21,6,2782.95,0.655,utilities,US,0.158,1204,False
153,897,271454.31,2,262.37,0.223,healthcare,US,0.219,880,False
154,917,252273.43,2,4284.16,0.2181,gas_station,CA,0.898,1044,False
155,852,257530.88,6,4136.389999999999,0.7042,gift_cards,US,2.126,67,False
156,907,257569.28,14,2261.0699999999997,1.5436,jewelry,US,1.504,1757,False
157,956,290250.01,5,605.4,0.523,subscription,US,0.55,1283,False
158,896,251806.21,5,1108.0,0.558,home_improvement,US,0.315,490,False
159,896,226971.63999999998,6,1828.27,0.6696,gambling,US,2.698,1104,False
160,836,228581.47,6,3306.14,0.7177,travel,US,2.09,391,False
161,919,333130.35,7,1094.5900000000001,0.7617,jewelry,US,2.652,101,False
162,876,273520.31,1,2649.27,0.1142,utilities,US,0.089,1971,False
163,906,267374.05,4,4710.08,0.4415,travel,US,1.328,1067,False
164,862,229528.27,6,803.19,0.6961,subscription,US,0.319,610,False
165,928,246775.17,7,5853.24,0.7543,digital_goods,US,1.145,1102,False
166,866,247321.83,9,7629.0599999999995,1.0393,gift_cards,US,4.87,2426,False
167,865,202877.34,7,9190.35,0.8092,gift_cards,US,2.212,1609,False
168,853,262215.29,6,16460.45,0.7034,jewelry,US,3.904,2166,False
169,850,231817.0,3,426.23,0.3529,restaurant,US,0.354,1492,False
170,958,272970.79,5,3410.6800000000003,0.5219,clothing_retail,DE,0.739,2578,False
171,878,234084.19,6,1648.9799999999998,0.6834,home_improvement,US,0.558,517,False
172,916,320565.75,6,7157.94,0.655,home_improvement,US,0.584,2940,False
173,859,234557.81,3,131.63,0.3492,digital_goods,US,2.035,2099,False
174,825,194101.85,3,2249.77,0.3636,healthcare,US,0.584,943,True
175,886,241474.07,2,215.35999999999999,0.2257,jewelry,CA,2.184,2742,False
176,989,292194.84,2,181.73999999999998,0.2022,subscription,US,0.698,1650,False
177,880,207327.79,3,5204.240000000001,0.3409,healthcare,US,0.216,2390,False
178,925,263291.59,5,755.62,0.5405,gambling,CA,2.091,1190,False
179,937,213939.53,3,132.19,0.3202,home_improvement,US,0.425,501,False
180,929,266859.06,6,4263.1900000000005,0.6459,electronics,US,1.002,1394,False
181,908,242816.42,5,10329.779999999999,0.5507,restaurant,US,0.4,1671,False
182,851,263613.21,6,4853.68,0.7051,jewelry,CA,2.307,306,False
183,894,316536.48,10,1849.6999999999998,1.1186,money_transfer,US,2.364,590,False
184,837,251550.02,5,374.83,0.5974,gambling,US,2.501,716,False
185,867,211585.95,7,3170.04,0.8074,gift_cards,US,2.443,1214,False
186,961,237184.21,5,2180.54,0.5203,electronics,US,1.477,618,False
187,944,282847.87,5,1262.15,0.5297,home_improvement,US,0.542,2634,False
188,888,257837.48,7,5061.59,0.7883,gift_cards,US,3.609,2083,False
189,923,183434.69,8,2027.1999999999998,0.8667,travel,US,1.91,377,False
190,945,233300.02,6,1056.9099999999999,0.6349,digital_goods,GB,5.741,996,False
191,936,315690.15,5,1127.17,0.5342,gambling,US,4.343,2824,False
192,907,279017.52,9,6048.5599999999995,0.9923,gift_cards,US,1.623,2479,False
193,841,208531.26,6,9627.029999999999,0.7134,restaurant,US,0.308,1031,False
194,925,322328.14,4,824.21,0.4324,healthcare,US,0.342,825,False
195,874,249140.74,4,194.57999999999998,0.4577,travel,US,1.11,1868,False
196,870,222588.62,6,1311.9,0.6897,gas_station,US,0.416,2200,False
197,868,272319.86,5,19964.79,0.576,jewelry,US,2.515,1496,False
198,889,251220.1,3,3381.15,0.3375,gambling,US,2.499,1587,False
199,885,229081.31,6,836.66,0.678,gambling,US,5.548,1673,False
200,911,237049.58000000002,5,2036.52,0.5488,travel,GB,1.219,1839,False
201,895,213214.75,4,724.03,0.4469,healthcare,US,0.525,1892,False
202,895,243670.91,3,61.15,0.3352,jewelry,US,1.758,1017,False
203,913,240398.46,8,4075.37,0.8762,clothing_retail,US,0.538,293,False
204,894,281592.45,6,2599.62,0.6711,digital_goods,US,1.79,1935,False
205,896,322101.7,4,1113.8899999999999,0.4464,healthcare,US,0.146,624,False
206,855,218046.85,6,1073.94,0.7018,home_improvement,CA,0.534,1897,False
207,888,229092.67,8,4972.709999999999,0.9009,money_transfer,US,2.045,2266,False
208,890,223306.1,1,565.09,0.1124,home_improvement,US,0.268,2294,False
209,864,234462.96,2,555.72,0.2315,home_improvement,US,0.492,2258,False
210,932,270386.7,5,2330.7700000000004,0.5365,utilities,US,0.05,1535,False
211,908,259103.98,3,1202.5700000000002,0.3304,money_transfer,US,1.942,1678,False
212,872,253243.11,9,1342.81,1.0321,electronics,US,1.763,2302,False
213,932,252011.48,14,4713.12,1.5021,gift_cards,US,3.532,2839,False
214,880,300184.08,5,662.25,0.5682,electronics,US,1.573,2928,False
215,879,304321.97,9,5307.83,1.0239,grocery,US,0.357,160,False
216,857,217471.03,3,182.88,0.3501,money_transfer,US,2.481,987,False
217,945,276484.03,6,1301.06,0.6349,travel,US,2.382,2709,False
218,930,274709.79,3,2984.1800000000003,0.3226,gas_station,US,0.72,1933,False
219,891,228491.27,8,1881.98,0.8979,gift_cards,US,2.166,1316,False
220,943,259175.41,8,5867.29,0.8484,gas_station,US,0.464,1830,False
221,917,216444.02,4,769.37,0.4362,subscription,US,0.273,2739,False
222,885,213545.53,1,95.76,0.113,grocery,GB,0.435,2329,False
223,921,272885.71,8,1114.81,0.8686,electronics,US,1.079,1414,False
224,900,297339.58,8,2128.57,0.8889,clothing_retail,US,0.564,2183,False
225,952,270160.04,4,285.06,0.4202,subscription,US,0.534,2317,False
226,883,240994.99,3,535.73,0.3398,gambling,US,1.615,2097,False
227,906,279567.75,4,1743.26,0.4415,utilities,US,0.072,2952,False
228,957,246587.88,5,1729.77,0.5225,clothing_retail,CA,0.812,1336,False
229,874,189338.09,12,4170.79,1.373,gift_cards,US,2.458,2626,False
230,935,247198.88,3,1206.34,0.3209,home_improvement,US,0.567,559,False
231,933,308336.7,6,1140.76,0.6431,electronics,US,2.422,295,False
232,937,328511.89,8,2675.26,0.8538,jewelry,US,1.567,541,False
233,885,250140.02,12,2749.9500000000003,1.3559,money_transfer,US,2.919,2360,False
234,871,185675.65,9,1459.9,1.0333,money_transfer,US,2.92,633,False
235,872,250334.87,3,647.23,0.344,utilities,US,0.085,1405,False
236,871,252291.09,3,379.08,0.3444,grocery,US,0.541,1125,False
237,914,242097.69,9,2210.26,0.9847,travel,US,1.404,888,False
238,862,250318.13,11,6188.200000000001,1.2761,gift_cards,US,1.545,591,False
239,898,201278.25,5,848.1999999999999,0.5568,travel,US,1.0,2145,False
240,955,264536.0,7,1416.95,0.733,clothing_retail,US,0.582,2075,False
241,898,256266.6,4,515.89,0.4454,healthcare,CA,0.237,1318,False
242,902,242261.8,12,2732.58,1.3304,jewelry,DE,4.524,2054,False
243,879,235386.95,8,1198.78,0.9101,gas_station,US,0.685,1776,False
244,890,242470.49,4,504.03999999999996,0.4494,grocery,US,0.288,442,False
245,890,210572.48,4,253.87,0.4494,restaurant,CA,0.285,2353,False
246,901,279345.83,8,1222.14,0.8879,electronics,US,3.178,1107,False
247,899,254207.58,4,809.05,0.4449,digital_goods,US,2.22,2473,False
248,910,214410.55,8,1410.2300000000002,0.8791,money_transfer,US,1.983,121,False
249,841,228121.27,8,8392.22,0.9512,digital_goods,US,2.885,1417,False
250,840,269186.18,7,12441.12,0.8333,gift_cards,US,1.83,2822,False
251,863,221510.11,3,1359.74,0.3476,restaurant,US,0.521,1338,False
252,892,222354.92,7,237.57999999999998,0.7848,electronics,US,1.538,2470,False
253,841,232658.6,14,8517.32,1.6647,money_transfer,US,3.097,1256,False
254,850,242622.7,3,3046.5,0.3529,healthcare,US,0.067,2101,False
255,937,295528.97,6,2338.6,0.6403,utilities,US,0.154,2039,False
256,913,236896.78,3,634.42,0.3286,healthcare,US,0.125,762,False
257,830,241666.64,7,1057.43,0.8434,clothing_retail,US,0.524,2844,False
258,894,239743.19,4,1189.23,0.4474,grocery,US,0.324,919,False
259,904,243133.29,3,434.16999999999996,0.3319,subscription,US,0.566,825,False
260,889,257105.09,5,408.52,0.5624,utilities,US,0.251,552,False
261,922,271336.94,5,4149.79,0.5423,jewelry,US,1.104,878,False
262,872,290143.75,5,2253.24,0.5734,grocery,US,0.257,2967,False
263,910,280425.82,2,46.239999999999995,0.2198,healthcare,US,0.274,1954,False
264,886,266681.14,9,3724.5699999999997,1.0158,digital_goods,US,2.094,1851,False
265,910,223723.45,2,18.58,0.2198,gas_station,GB,0.499,1360,False
266,931,281206.94,7,4350.4,0.7519,home_improvement,US,1.125,735,False
267,899,236370.45,6,6667.92,0.6674,digital_goods,AU,2.567,170,False
268,898,246780.74,11,2374.23,1.2249,jewelry,US,3.853,2250,False
269,949,256493.59,6,7885.969999999999,0.6322,healthcare,US,0.259,245,False
270,816,179780.85,4,735.24,0.4902,gas_station,US,0.672,565,False
271,919,281007.92,11,4620.0199999999995,1.197,jewelry,US,2.032,1825,False
272,882,218551.15,6,1486.6499999999999,0.6803,utilities,US,0.052,1484,False
273,963,285330.14,3,1086.76,0.3115,clothing_retail,US,1.082,1152,False
274,876,280361.28,11,34821.909999999996,1.2557,gambling,US,3.498,1990,False
275,880,180387.97,8,755.13,0.9091,utilities,US,0.124,1884,False
276,922,247891.81,9,4109.08,0.9761,gift_cards,US,2.825,916,False
277,927,271129.11,7,1762.09,0.7551,home_improvement,US,0.309,2265,False
278,904,278741.08,9,2622.25,0.9956,digital_goods,US,4.243,2911,False
279,834,212393.24,3,256.56,0.3597,healthcare,US,0.228,1044,False
280,894,287315.46,3,686.9100000000001,0.3356,home_improvement,US,0.192,2405,False
281,874,248014.1,3,334.12,0.3432,subscription,US,0.587,1757,False
282,865,247157.4,6,5219.8099999999995,0.6936,gift_cards,US,2.657,1605,False
283,871,225044.36,6,5343.09,0.6889,gambling,US,0.979,1284,False
284,879,229982.35,2,631.21,0.2275,gambling,US,2.076,1920,False
285,896,247132.08,6,1121.06,0.6696,electronics,US,5.085,2770,False
286,923,275192.24,2,152.3,0.2167,utilities,US,0.05,520,False
287,913,268434.74,3,1712.92,0.3286,grocery,US,0.189,2896,False
288,818,264357.77999999997,1,11.47,0.1222,grocery,CA,0.113,641,False
289,915,244230.48,4,1390.27,0.4372,grocery,US,0.159,2036,False
290,871,228974.71,3,2800.2,0.3444,utilities,US,0.05,1796,False
291,901,261468.83,5,646.71,0.5549,restaurant,CA,0.249,1163,False
292,873,219149.4,4,1360.36,0.4582,grocery,US,0.596,2164,False
293,892,278753.44,10,5109.44,1.1211,digital_goods,US,3.592,2848,False
294,875,217134.26,6,5318.53,0.6857,clothing_retail,US,0.631,2472,False
295,950,257201.05,5,6788.28,0.5263,home_improvement,US,0.781,1026,False
296,875,225136.27,9,2730.21,1.0286,money_transfer,US,2.893,1232,False
297,859,212768.99,4,1116.91,0.4657,home_improvement,US,0.273,1602,False
298,912,251825.28,5,2549.81,0.5482,grocery,US,0.252,665,False
299,882,231801.45,3,309.28,0.3401,utilities,US,0.053,2822,False
300,906,249973.67,3,1556.5500000000002,0.3311,gambling,US,1.317,47,False
301,916,270636.64,10,2871.39,1.0917,gift_cards,US,3.906,1837,False
302,892,248206.58,5,2485.22,0.5605,clothing_retail,US,2.662,831,True
303,891,237970.38,4,1147.42,0.4489,jewelry,US,1.315,1220,False
304,876,241766.16,6,1417.42,0.6849,travel,US,1.567,511,False
305,912,237227.93,1,81.4,0.1096,subscription,US,0.735,125,False
306,898,298909.41000000003,11,3711.81,1.2249,digital_goods,US,1.963,1785,False
307,860,224376.16,3,216.38,0.3488,digital_goods,US,1.708,2377,False
308,939,245773.76,9,14765.619999999999,0.9585,healthcare,DE,0.275,353,False
309,946,234873.33,6,834.97,0.6342,restaurant,US,0.478,287,False
310,907,274284.23,8,1163.37,0.882,grocery,US,0.602,704,False
311,908,265859.99,4,755.28,0.4405,healthcare,US,0.238,297,False
312,857,247505.41,5,1937.69,0.5834,jewelry,CA,1.083,1314,False
313,909,288201.91,6,704.59,0.6601,clothing_retail,AU,0.379,705,False
314,922,231611.69,10,2626.12,1.0846,jewelry,US,2.017,1505,False
315,905,246143.8,6,4917.89,0.663,home_improvement,US,0.553,1902,False
316,895,227658.85,5,358.84000000000003,0.5587,electronics,US,2.047,965,False
317,919,310590.76,4,936.06,0.4353,electronics,US,1.406,2683,False
318,921,281554.04,4,2680.08,0.4343,jewelry,US,1.122,1539,False
319,850,241854.03,8,5405.7300000000005,0.9412,digital_goods,US,4.499,54,False
320,930,215975.29,5,397.83,0.5376,jewelry,US,3.884,1317,False
321,919,238688.23,10,5492.58,1.0881,money_transfer,US,1.993,2043,False
322,928,288647.03,6,1431.09,0.6466,clothing_retail,US,0.913,1381,False
323,890,253255.89,5,1659.81,0.5618,gift_cards,US,3.322,1579,False
324,939,307034.76,2,498.09999999999997,0.213,grocery,US,0.394,2238,False
325,905,246749.85,9,3762.0,0.9945,travel,US,2.386,1874,False
326,881,200841.29,5,871.47,0.5675,restaurant,US,0.707,445,False
327,897,284550.74,4,442.4,0.4459,digital_goods,US,3.061,2079,False
328,915,267029.56,3,432.23,0.3279,jewelry,US,1.996,408,False
329,901,246566.72,3,1903.81,0.333,gas_station,US,0.444,1987,False
330,890,224069.33,4,1086.31,0.4494,clothing_retail,US,0.641,2073,False
331,918,286427.37,15,2339.87,1.634,digital_goods,CA,7.45,2496,False
332,893,256011.55,1,1131.74,0.112,utilities,US,0.102,2947,False
333,903,209780.23,1,91.84,0.1107,grocery,US,0.41,353,False
334,892,272294.11,6,4088.63,0.6726,grocery,CA,0.354,2925,False
335,894,254439.99,5,2380.11,0.5593,utilities,US,0.067,693,False
336,914,254975.62,3,131.73,0.3282,healthcare,US,0.242,80,False
337,889,230289.24,12,6715.5,1.3498,electronics,US,1.381,2538,False
338,887,232656.43,10,2016.75,1.1274,jewelry,US,1.507,2710,False
339,848,232660.82,4,1303.45,0.4717,electronics,US,2.283,241,False
340,947,335327.49,4,1366.62,0.4224,restaurant,US,0.241,1390,False
341,901,231851.73,6,517.37,0.6659,healthcare,US,0.284,2942,False
342,918,291431.43,2,47.25,0.2179,healthcare,GB,0.251,2145,False
343,910,240407.74,11,5401.91,1.2088,digital_goods,US,4.146,1380,False
344,925,236647.21,6,2218.6400000000003,0.6486,gift_cards,US,3.635,2332,False
345,858,197872.41,3,270.08000000000004,0.3497,grocery,CA,0.205,1079,False
346,925,278211.95,9,6885.799999999999,0.973,digital_goods,US,3.904,884,False
347,919,213524.98,3,104.11,0.3264,utilities,GB,0.159,1347,False
348,883,269352.13,8,7841.889999999999,0.906,gambling,US,4.003,2585,False
349,923,254385.31,8,2061.9,0.8667,clothing_retail,US,0.939,877,False
350,912,217665.2,3,10092.96,0.3289,subscription,US,0.332,1796,False
351,950,278175.0,1,96.89,0.1053,clothing_retail,US,0.986,2482,False
352,889,222841.13999999998,1,85.96,0.1125,clothing_retail,US,0.425,105,False
353,965,319160.81,5,1156.84,0.5181,gas_station,US,0.39,1859,False
354,882,233751.62,6,1930.15,0.6803,gas_station,US,0.359,2658,False
355,886,255514.74,7,907.93,0.7901,money_transfer,US,1.869,885,False
356,903,264316.69,8,4251.47,0.8859,digital_goods,US,2.684,503,False
357,895,241961.5,4,1936.3400000000001,0.4469,digital_goods,US,2.469,2346,False
358,885,230230.29,4,1116.51,0.452,restaurant,US,0.68,1035,False
359,883,260393.55,2,42.65,0.2265,restaurant,DE,0.648,2134,False
360,888,261818.64,3,614.12,0.3378,electronics,CA,1.932,1488,False
361,901,221228.05,6,1144.75,0.6659,home_improvement,GB,0.548,1773,False
362,896,233089.58,10,7991.24,1.1161,electronics,US,1.727,1126,False
363,943,241087.81,4,11206.21,0.4242,subscription,US,0.574,1347,False
364,934,248354.36000000002,6,10392.470000000001,0.6424,home_improvement,US,0.421,171,False
365,915,227780.72,3,270.63,0.3279,restaurant,US,0.377,2547,False
366,931,275400.81,5,230.33,0.5371,subscription,US,0.653,1027,False
367,893,245119.04,18,10882.67,2.0157,money_transfer,US,4.564,646,False
368,860,213265.01,6,1299.8,0.6977,restaurant,US,0.246,161,False
369,891,242288.96,5,915.56,0.5612,money_transfer,CA,2.973,2722,False
370,886,263174.14,4,334.65,0.4515,travel,US,3.709,2177,True
371,879,221509.25,2,21.8,0.2275,gas_station,US,0.401,1801,False
